Date,Lie,Url,Explanation
2017-06-21,"You have a gang called MS-13. ... We are moving them out of the country by the thousands, by the thousands.",http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally,The real number of gang members deported is smaller.
2017-06-21,Your insurance companies have all fled the state of Iowa.,http://www.factcheck.org/2017/06/factchecking-trumps-iowa-rally/,They haven't.
2017-06-21,"If [farmers] have a puddle in the middle of their field ... it's considered a lake and you can't touch it. ... We got rid of that one, too, O.K.?",https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html,The Obama environmental rule to limit pollution in the country’s waters explicitly excludes puddles.
2017-06-21,"Gary Cohn just paid $200 million in tax in order to take this job, by the way.",https://www.nytimes.com/2017/06/22/us/politics/factcheck-donald-trump-iowa-rally.html,Cohn sold Goldman Sachs stock worth $220 million.
2017-06-21,We’re 5 and 0.,https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-21,"Last week a brand-new coal mine just opened in the state of Pennsylvania, first time in decades, decades.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.60ce71155f60,Another coal mine opened in 2014.
2017-06-22,Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump & Russia.,http://talkingpointsmemo.com/livewire/trump-claims-johnson-testimony-clears-him,"Johnson, who had a different title, didn't say that."
2017-06-23,We are 5 and 0 ... in these special elections.,http://www.chicagotribune.com/news/nationworld/politics/factcheck/ct-fact-check-trump-missions-20170624-story.html,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-27,Ratings way down!,http://www.politifact.com/truth-o-meter/statements/2017/jul/03/donald-trump/trumps-pants-fire-claim-cnn-ratings-are-way-down/,CNN's ratings were at a five-year high at the time.
2017-06-28,Democrats purposely misstated Medicaid under new Senate bill — actually goes up.,https://www.washingtonpost.com/news/fact-checker/wp/2017/06/30/president-trumps-claim-medicaid-spending-in-senate-health-bill-actually-goes-up/?utm_term=.a319dee54870,Senate bill would have cut the program deeply.
2017-06-29,"General Kelly and his whole group — they’ve gotten rid of 6,000 so far.",https://www.washingtonpost.com/graphics/politics/trump-claims-database/?utm_term=.aa961e129167,The real number of MS-13 gang members who have been deported is smaller.
2017-07-06,"As a result of this insistence, billions of dollars more have begun to pour into NATO.",http://www.nbcnews.com/politics/donald-trump/fact-check-long-trump-took-credit-nato-spending-was-n780241,NATO countries agreed to meet defense spending requirements in 2014.
2017-07-17,"We’ve signed more bills — and I’m talking about through the legislature — than any president, ever.",https://www.nytimes.com/2017/07/17/us/politics/trump-laws-bills.html,"Clinton, Carter, Truman, and F.D.R. had signed more at the same point."
